datetime;city;state;country;shape;durationSeconds;durationHM;comments;datePosted;latitude;longitude;sourceUrl;sighting_id
1/25/2025 22:20;milnrow;England;United Kingdom;orb;6.0;6/7 seconds;Menu Close 2025-01-25 22:20 Local 2025-01-25 15:33 Pacific 6/7 seconds 1 Milnrow&#44 England&#44 United Kingdom flew east over milnrow... turned in an arch... flew back... Orb yellow Estimated Size: orb like. house size Land Direction from Viewer: left to right&#44 turn&#44 back 45 Closest Distance: higher than cruising altitude Estimated Speed: 8k mph Aura or haze around object Higher up than a plane&#44 at least 15 times faster… 8kmph no sonic boom Higher up than a plane&#44 at least 15 times faster... 8kmph no sonic boom Intelligent movement… slower arched turn National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/25/2025;;;https://nuforc.org/sighting/?id=187195;187195
1/25/2025 22:20;milnrow;England;United Kingdom;orb;6.0;6/7/8 seconds;Menu Close 2025-01-25 22:20 Local 2025-01-25 16:16 Pacific 6/7/8 seconds 1 Milnrow&#44 England&#44 United Kingdom Newhey road Orb Yellow (ish) Estimated Size: similar or smaller than a terrace house Land Direction from Viewer: As I was standing it was north flying west to east then back. 45 Closest Distance: Higher than cruising altitude…. land wise not far Estimated Speed: 8/9 k mph Aura or haze around object Very high speed&#44 intelligent slow turn&#44 high altitude A yellow orb/fireball entered my vision from left to right… travelling higher than a plane's cruising altitude and at least 15 times faster…. Stopped/slowed after 3 seconds or so banked right in an arch manner until had turned then the exact same fast speed from right to left until out of view…. No sound no sonic boom nor visual sonic boom ( If one could imagine it drew a tubular shape ) National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/25/2025;;;https://nuforc.org/sighting/?id=187197;187197
1/26/2025 00:37;leeds;me;United States;other;;Maybe one minute;Menu Close 2025-01-26 00:37 Local 2025-01-25 23:13 Pacific Maybe one minute 1 Leeds&#44 ME&#44 USA Field in front of my house Other Hot white Estimated Size: Spherical shape perhaps 50 feet tall and wide Land Direction from Viewer: North 9 Closest Distance: 300 yards? Estimated Speed: Na Aura or haze around object&#44 Emitted other objects&#44 Emitted beams&#44 Animals reacted Sphere descended from the sky and hovered about 40 feet off the ground. A tube of blue light came down and touched the Earth. Descended from the sky and hovered about 40 feet off the ground. A tube of blue light came down and touched the Earth This giant round sphere was at first a small dot in the sky&#44 but it continued getting bigger and bigger rapidly until I finally realized that it was high in the stratosphere and coming down almost straight at me. I thought it was literally going to land in the field in front of my house&#44 but it stopped about 60 feet above the ground and a tube of bright white blue light came down touch the ground and three red orbs Descended from the object to the ground. When the third orb touch the ground a giant white flash was seen that blinded me and caused everything to turn bright white momentarily. When I refocused there was nothing there. It was incredible. I know for a fact that extraterrestrials are real&#44 but I’ve never seen until now. I honestly believe that what I witnessed was a different race of people from somewhere else in the universe&#44 I cannot say for sure&#44 but I believe that the three orbs that came down out of the beam of white for being and I’m pretty sure they were placed on the ground like as if to say&#44 they were transported through the beam of light from the object in the sky to the ground. I have absolutely no idea where they went once they landed because I was scared and cold and went back inside and like I said after the bright flash&#44 I couldn’t see anything it was just gone&#44 and if they did land&#44 then they disappeared as well. I have not gone out to look at the field yet because it is freezing cold out and I figured I should wait until tomorrow when there is daylight&#44 but but it was very strange. I had a feeling that they knew I was watching them And I also had that feeling that you get when there is another presence close by&#44 but you cannot see them and I know this sounds crazy but from the time I spotted this thing and it broke into our stratosphere and came close to the Earth until the bright white flash and I refocused and nothing was there. It almost seems like time stopped because all of the normal ambience sounds our surroundings make ceased to exist. There was a dead total silence like I have never witnessed before and I’m telling you I think they stopped time and I’m a little nervous because I’m pretty sure three beings got off that ship and if that’s the case&#44 then we have an issue because that means they’re still somewhere close by and I have children to worry about. I did not get a feeling like anything bad was going to happen&#44 but I have to be cautious because I simply have no idea what just happened. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/25/2025;44.3033333;-70.1200000;https://nuforc.org/sighting/?id=187215;187215
1/26/2025 05:45;new york;ny;United States;chevron;600.0;10 mins;Menu Close 2025-01-26 05:45 Local 2025-01-26 04:22 Pacific 10 mins 1 New York&#44 NY&#44 USA Chevron Black Estimated Size: Hige Land Direction from Viewer: The opera straight on the crafts&#44 then shifted to my left side 45 Closest Distance: Unsure Estimated Speed: Verling and one was going really fast. Lights on object&#44 Emitted other objects 5:30 AM I saw a large bright orb&#44 and then this object appeared out of it. I Work at 5:30 5:45 AM when I saw a big beautiful orb&#44 it was extremely bright. Suddenly the orb became very blurry as if it was moving from side to side quickly&#44 and then the craft appeared out of it. There were three altogether one was large squared with lights on each .4 points of it. The third went so fast that I couldn't make out what it was and then this is the third one that just hovered there it was tremendous. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/26/2025;40.7141667;-74.0063889;https://nuforc.org/sighting/?id=187219;187219
;oakland;ca;United States;disk;;Unknown amount of time;Menu Close 2025-01-26 05:58 Local - Approximate 2025-01-26 11:22 Pacific Unknown amount of time 1 Oakland&#44 CA&#44 USA In my apartment facing the window Disk Silver&#44 with lights Estimated Size: Maybe small to medium box truck sized Land Direction from Viewer: In front of me&#44 I am facing N/NE from inside my apartment 40 Closest Distance: Maybe 100/200 ft away Estimated Speed: Incredibly fast Explanation: Dream - Possible Lights on object&#44 Emitted beams&#44 Possible abduction&#44 Missing Time I dont think i was dreaming but i saw two saucers fly towards me from the sky with lights and then an alien appear in my apartment I had such a weird experience last night and I am so confused. Lately I have been jokingly testing the waters at night by having meditations where I think about and intentionally ask aliens to come pick me up. Not thinking it would actually happen&#44 but more so “okay Greer&#44 you say people can do this&#44 lets just test it”. Last night&#44 I woke up at 2am and couldn’t sleep so i go to the couch where I set floor pillows in front of my couch and lay to rest there. My couch isnt comfy so i have my floor pillows as a rest spot. At 5am I feel slightly tired so I close my eyes and felt this strange feeling so I kind of peek my eyes open and look out the window. The window is kind of far away from me. And i just hear the wind blowing and then i think in my mind “if there is an alien there&#44 come down and show yourself”. Then all the sudden I see a saucer along with another saucer craft near it fly down incredibly fast&#44 then stop suddenly hovering in the distance. They had lights in the center part of the saucer&#44 it looked silver and shiny. The lights on the center perimeter part of the craft and seemed like they were cycling through different colors. It was red&#44 green&#44 white and blue little lights. I get so startled but I keep looking out the window in curiousness. I practice keeping my calm in stressful situations or even as a tool to have autonomy within dreaming so despite the unsettling sensation I also am incredibly curious to face this without turning away. Then all the sudden a classic alien(big head&#44 large black eyes&#44 greyish body&#44 short slender but a but of a belly stature) just appears on the outside of my window with its face peering at me&#44 then it somehow pops into the other side of the window standing above me on the top part of my couch. They looked like they were wearing a skin tight&#44 slightly shiny black suit and were slightly translucent. I freeze immediately&#44 I feel stunned. It felt like dream paralysis&#44 but different in sensation. Like I was being prevented from moving not a ‘I cant move because i am scared’ situation. I try to yell out “what do you want?”&#44 and then remember having the thought ‘This being probably is communicating through the mind anyway why are you speaking’. Despite that I keep repeating along with “are you taking me? Don’t go”. This being almost felt annoyed or confused or even surprised that I was able to get out words while being paralyzed. Immediately after that thought I feel myself sliding off my floor cushions not by my own accord and dragging across the floor towards the middle of the room. The whole time I am trying to yell out these questions barely able to get the words out and it is definitely a struggle but I kept persisting. I say then “where are we going?” and try to grab on to stuff not to keep me from sliding but to ground myself if I am awake or not. Usually when I lucid dream I look at my hands and touch things to let myself know I am dreaming. I feel like I am trying to push through some force to move my head and my arms and am unable to look at my hands but I just barely move enough to touch my coffee table and get this startled feeling of ‘you arent dreaming’. I then black out and have a memory of floating in a white light outside&#44 headed into this saucer. I black out again when I reach the top circular shape which is so incredibly bright it feels like I blip into it&#44 and then cut into being in a completely white space within the craft. There are several people and aliens sitting together around a long rounded table(think skinny bar type table the has a space in the center&#44 that goes around the whole room in a roundish space. But the table is not perfectly circular&#44 just curving around the room). Everything is shiny glossy white&#44 the tables&#44 chairs&#44 the entire room&#44 the clothes people are wearing is all white. It almost reminded me of how the spaceship looked in the movie “hitchhikers guide to the galaxy”. I am in the center of this room with everyone around me and I feel suspended in the air and barely able to speak or move. There is this old man with a beard and a mustache that looks strange(like bigger eyes) who is asking me questions that I cant recall but I remember answering. I remember being able to slightly look around but not able to move and barely able to project my voice with their questioning. My memory cuts off again and I felt immediately pulled back into my body back on the floor pillows just completely distraught. I feel paralyzed again for a moment and my arms are like weirdly on my stomach(like classic corpse pose) and I am on my back. I feel exhausted and that whole time laying there I try and replay what I experienced so I can remember the details before I fall asleep. It was almost frantically feeling like I need to recall this. I remember wanting to look at my phone to see the time but can’t&#44 I was so confused about what time it was and how much time had passed. Eventually I do fall asleep and I dont dream the rest of the morning which is also unusual for me. The weirdest part about the cutting in an out of memories is that I am not recalling them back and the memory is being spotty&#44 but its like the progression in that moment was spotty. Almost as if I was blipping to and from those points of what I remember. I have no idea if this was a dream or not I am super disoriented from the whole thing&#44 it felt so real. And I dont have dreams that start at the beginning of my sleep its always just before I wake up in points of the night. So it just felt disorienting. I also remember explicitly that I was struggling to sleep and was still awake when this occurred because i was listening to the wind. I have been hyper fixating on aliens lately more than my normal so this definitely could have been a dream. My dreams can be very vivid but also I lucid dream daily so generally I know without a doubt when it is a dream every time I am in a dream and especially post dream when I wake up. This was so unlike my dreams. I dont progress through dreams like that where it cuts in and cuts out of experiences. My dreaming is always naturally progressing like a movie and I generally remember that progression especially while in the dream. It is not until later that parts of the dream fade away and the fading away can usually be brought back when I focus on the progression of that dream. Dream or not&#44 very weird experience that I wanted to speak on and needed someone to know that this experience occurred. I have been reading a lot about psionic abilities&#44 and have been keeping up with government disclosures as well as whistleblowers regarding aliens. Greer's documentaries about contacting aliens has been something I recently have been interested in&#44 so I have been also having meditations at night almost jokingly calling out to aliens. I do it as a test because I think from a scientific standpoint methods being spoken about on anything should be explored&#44 especially if something is unknown. So I have been doing this as a “okay Greer you claim this can happen&#44 we have whistleblowers that claim this is a program that exists&#44 lets actually test these claims”. I know all of this sounds so fringe&#44 and I hope whoever is having to read this at least gets some enjoyment from it because its a totally fantastical sounding experience. I dont know how to explain it without sounding like a complete nut. That being said I am comfortable with knowing I had an unexplainable experience that I can’t tell if it was a dream or not&#44 but I will say I always know when I am dreaming and when I am awake which is the most concerning part. That being said&#44 I am assured in speaking about it from a place of “I don’t know what that was but it was incredibly strange and I need to tell someone about this”. I am also aware that my dreams are very sensitive to my reality so it could have very well been a dream based on leaning into all the information I am digesting out there right now. But this felt so different and I really needed to speak on it. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/26/2025;37.8044444;-122.2697222;https://nuforc.org/sighting/?id=187223;187223
1/26/2025 19:35;whitehall;pa;United States;orb;600.0;10 minutes;Menu Close 2025-01-26 19:35 Local 2025-01-26 16:58 Pacific 10 minutes 1 Whitehall&#44 PA&#44 USA East Orb White Land Direction from Viewer: East 50 Saw a very bright light. Took 2 pictures. Looked down at my phone & back up & it was gone. Saw a very bright light. Saw a very bright light&#44 it was not moving&#44 no sound. I thought it was an unusually bright star & low at first. Got my phone and took 2 pictures. Looked down at my phone & back up & it was gone!! No cloud cover tonight. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/26/2025;39.7908333;-77.1097222;https://nuforc.org/sighting/?id=187227;187227
1/26/2025 18:43;ash lake;mn;United States;light;;Active;Menu Close 2025-01-26 18:43 Local 2025-01-26 16:59 Pacific Active 1 - Law Enforcement Officer Ash Lake&#44 MN&#44 USA On highway 53&#44 numerous lights west&#44 south&#44 and east of the pin at 50&#44 60k feet. Light Infra Red Estimated Size: unsure just IR lights in the sky. Land Direction from Viewer: 270&#44 180&#44 90 40 Closest Distance: 50-100 miles? Estimated Speed: fast as hell for that altitude. Emitted other objects&#44 Aircraft nearby I'm a US Border Patrol Agent on patrol and sighted them. There are 70+ lights/orbs what have you that can only be seen in infrared that are at 50-70k ft moving quickly for their altitude&#44 changing direction and moving in formations sometimes. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/26/2025;;;https://nuforc.org/sighting/?id=187228;187228
1/27/2025 04:50;chain lake;wa;United States;light;1.0;A couple seconds;Menu Close 2025-01-27 04:50 Local 2025-01-27 05:15 Pacific A couple seconds 1 Chain Lake&#44 WA&#44 USA Coming off the us-2/snohomish on ramp Light White Estimated Size: 50ft Land Direction from Viewer: SE 45 Closest Distance: 400ft Estimated Speed: Fast Lights on object Light bulb looking craft over tree line super fast I was headed to work Monday morning. I was on the us-2 on ramp east bound headed out of snohomish when I saw a bright light to my left hand side above the tree line that moved super fast and in an unnatural manner toward monroe washington from snohomish washington. It took the craft maybe one second to traverse five miles. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;;;https://nuforc.org/sighting/?id=187231;187231
1/27/2025 08:15;sebastopol;Victoria;Australia;changing;15.0;15 seconds;Menu Close 2025-01-27 08:15 Local 2025-01-27 01:45 Pacific 15 seconds 1 Sebastopol&#44 Victoria&#44 Australia Changing White and black Estimated Size: Jumbo jet size Land Direction from Viewer: South west 45 Closest Distance: 25000 ft Estimated Speed: 1000 times faster than the fastest jet Explanation: Cloud - Possible Changed Colo Flying abnormal amount the clouds changed color then poof into a portal in the blue. Went to work went out to the clothes line looked up and seen a white strange shaped craft in the storm clouds it came out of it went black moving fast then literally went Into a blue sky portal. Shape un like anything ive ever seen. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;;;https://nuforc.org/sighting/?id=187235;187235
;auckland;Auckland;New Zealand;unknown;4.0;4 seconds;Menu Close 2025-01-27 21:36 Local - Approximate 2025-01-27 01:07 Pacific 4 seconds 1 Auckland&#44 Auckland&#44 New Zealand On top of the balcony Unknown green Estimated Size: 8.8 m Land Direction from Viewer: immediate left 45 Closest Distance: 500m - 1km Estimated Speed: 280 kph Lights on object&#44 Made a sound Shining green lights&#44 flew overhead&#44 and disappeared. There were no close planes on the flight radar&#44 some appliances distorted. The Object was flying close enough for me to see its lights. There were no close planes on the flight radar&#44 some appliances distorted. It was flying a short distance from my room through the window on the second floor. It had shining green lights&#44 flew overhead&#44 and disappeared when I went out to investigate. The music on my headphones also started to distort. It had the noise of a diesel engine&#44 which sounded like the RNZAF planes flying near my building. There were no Planes of the New Zealand Airforce on the flight radar and no commercial planes that flew over Howick. National UFO Reporting Center&#44 Davenport&#44 WA TERMS OF SERVICE PRIVACY POLICY;1/27/2025;;;https://nuforc.org/sighting/?id=187236;187236
